i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       deuteron_D     deuteron_T     He3_D          He3_T          alpha_D        alpha_T        Li6_D          Li6_T          Be8_D          Be8_T          C12_D          C12_T          C13_D          C13_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          
394	0	0	1.37833        1.33092        1.37584        1.32721        1.45233        1.45233        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
395	0	0	1.38934        1.33472        1.38743        1.33099        1.45655        1.45655        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
396	0	0	1.40309        1.33857        1.40158        1.33485        1.4603         1.4603         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
397	0	0	1.40555        1.34252        1.40381        1.3388         1.46416        1.46416        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
398	0	0	1.41222        1.34659        1.41023        1.34286        1.46868        1.46868        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
399	0	0	1.43041        1.35086        1.42937        1.34714        1.47289        1.47289        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
400	0	0	1.43354        1.35524        1.43179        1.35152        1.47753        1.47753        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
401	0	0	1.43945        1.35959        1.43822        1.35584        1.4824         1.4824         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
402	0	0	1.44287        1.36396        1.44164        1.36022        1.48645        1.48645        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
403	0	0	1.46112        1.36853        1.46           1.36479        1.4912         1.4912         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
404	0	0	1.47028        1.37332        1.46935        1.36957        1.49656        1.49656        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
405	0	0	1.4726         1.37841        1.47143        1.37464        1.50233        1.50233        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
406	0	0	1.47642        1.38376        1.47545        1.37998        1.50805        1.50805        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
407	0	0	1.51941        1.3893         1.5196         1.38554        1.51286        1.51286        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
408	0	0	1.5353         1.39501        1.53594        1.39127        1.51795        1.51795        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
409	0	0	1.51842        1.40084        1.51828        1.39711        1.52316        1.52316        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
410	0	0	1.54535        1.4068         1.54584        1.40312        1.52772        1.52772        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
411	0	0	1.55128        1.41315        1.55194        1.40951        1.53297        1.53297        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
412	0	0	1.58618        1.4199         1.58756        1.41629        1.53841        1.53841        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
413	0	0	1.62733        1.42747        1.63061        1.42391        1.54434        1.54434        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
414	0	0	1.63671        1.43546        1.63948        1.43195        1.55054        1.55054        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
415	0	0	1.64591        1.44354        1.64845        1.44012        1.55562        1.55562        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
416	0	0	1.71442        1.45246        1.72195        1.44911        1.56219        1.56219        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
417	0	0	1.72405        1.46231        1.72802        1.45906        1.5686         1.5686         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
418	0	0	1.76959        1.47313        1.77829        1.47003        1.57484        1.57484        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
419	0	0	1.89367        1.48603        1.90312        1.48311        1.58164        1.58164        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
420	0	0	1.93522        1.50152        1.94415        1.49892        1.58686        1.58686        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
421	0	0	2.1019         1.5211         2.12224        1.5189         1.59319        1.59319        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
422	0	0	2.2424         1.5458         2.26197        1.54414        1.60009        1.60009        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
423	0	0	2.58925        1.5815         2.6196         1.58074        1.6062         1.6062         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
424	0	0	3.15886        1.644          3.19964        1.64497        1.61232        1.61232        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
425	0	0	5.93025        1.83183        6.04011        1.83833        1.61838        1.61838        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
426	0	0	8.36899        1.65095        8.66264        1.65172        1.62592        1.62592        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
427	0	0	1.39226        1.39048        1.38485        1.38289        1.6332         1.6332         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
428	0	0	1.39354        1.39405        1.38514        1.38638        1.63903        1.63903        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
429	0	0	1.39892        1.39756        1.39053        1.38982        1.64506        1.64506        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
430	0	0	1.40554        1.40124        1.39783        1.39342        1.65108        1.65108        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
431	0	0	1.4061         1.40486        1.39775        1.39697        1.65699        1.65699        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
432	0	0	1.41172        1.40858        1.40302        1.40061        1.66331        1.66331        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
433	0	0	1.41399        1.4123         1.40587        1.40424        1.66959        1.66959        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
434	0	0	1.42215        1.41603        1.4137         1.4079         1.67571        1.67571        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
435	0	0	1.42397        1.42002        1.41633        1.41183        1.68205        1.68205        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
436	0	0	1.42852        1.42398        1.41949        1.41571        1.6885         1.6885         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
437	0	0	1.43308        1.42791        1.42317        1.41953        1.69575        1.69575        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
438	0	0	1.43343        1.43196        1.4238         1.42347        1.70328        1.70328        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
439	0	0	1.43784        1.43597        1.42922        1.42739        1.71026        1.71026        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
440	0	0	1.44097        1.44006        1.43235        1.43139        1.71688        1.71688        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
441	0	0	1.44644        1.44422        1.43735        1.43547        1.72379        1.72379        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
442	0	0	1.45101        1.44848        1.44037        1.43965        1.73163        1.73163        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
443	0	0	1.45553        1.45263        1.44394        1.44369        1.74007        1.74007        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
444	0	0	1.57648        1.47068        1.45106        1.44765        4.48791        2.18113        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
445	0	0	5.44128        1.88215        1.45902        1.45167        16.1562        9.05233        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
446	0	0	7.84494        1.76459        1.45571        1.45573        35.2454        9.73589        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
447	0	0	1.47117        1.46923        1.46176        1.45988        1.76945        1.76945        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
448	0	0	1.48033        1.47355        1.46706        1.46407        1.77808        1.77808        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
449	0	0	1.48014        1.47787        1.46923        1.46826        1.78721        1.78721        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
450	0	0	1.48906        1.48233        1.4779         1.47259        1.79571        1.79571        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
451	0	0	1.49044        1.48697        1.47792        1.47707        1.80501        1.80501        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
452	0	0	1.49209        1.49155        1.48124        1.4815         1.81403        1.81403        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
453	0	0	1.49878        1.49612        1.48824        1.48597        1.82226        1.82226        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
454	0	0	1.50459        1.50084        1.49441        1.49061        1.83042        1.83042        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
455	0	0	1.50937        1.5056         1.49629        1.49524        1.83955        1.83955        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
456	0	0	1.51943        1.51035        1.50548        1.49982        1.85001        1.85001        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
457	0	0	1.52211        1.51503        1.50821        1.50433        1.86054        1.86054        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
458	0	0	1.52702        1.51974        1.51359        1.50888        1.87081        1.87081        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
459	0	0	1.53023        1.52469        1.51463        1.51363        1.8821         1.8821         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
460	0	0	1.53315        1.52951        1.52054        1.51828        1.89275        1.89275        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
461	0	0	1.53849        1.53431        1.52719        1.52292        1.90153        1.90153        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
462	0	0	1.54888        1.53938        1.53152        1.52781        1.91266        1.91266        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
463	0	0	1.55194        1.54467        1.53482        1.53282        1.92619        1.92619        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
464	0	0	1.55932        1.54976        1.54182        1.53766        1.9393         1.9393         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
465	0	0	1.55637        1.55488        1.54294        1.54257        1.95084        1.95084        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
466	0	0	1.5658         1.56008        1.55057        1.54759        1.96171        1.96171        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
467	0	0	1.57279        1.56527        1.55726        1.5526         1.97324        1.97324        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
468	0	0	1.57864        1.57048        1.56045        1.55755        1.98563        1.98563        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
469	0	0	1.58232        1.57588        1.56755        1.5627         1.99804        1.99804        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
470	0	0	1.59094        1.58145        1.57343        1.56806        2.0106         2.0106         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
471	0	0	1.59266        1.58714        1.5789         1.57354        2.02287        2.02287        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
472	0	0	1.60157        1.59287        1.58196        1.57903        2.03586        2.03586        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
473	0	0	1.61078        1.59874        1.59232        1.58462        2.05087        2.05087        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
474	0	0	1.60903        1.60462        1.59308        1.59031        2.06452        2.06452        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
475	0	0	1.62483        1.6104         1.59966        1.5958         2.08002        2.08002        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
476	0	0	1.62373        1.61623        1.60524        1.60131        2.09641        2.09641        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
477	0	0	1.62892        1.62214        1.6098         1.60697        2.11069        2.11069        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
478	0	0	1.63701        1.62804        1.61752        1.61263        2.1252         2.1252         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
479	0	0	1.6381         1.63411        1.62076        1.61846        2.13925        2.13925        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
480	0	0	1.64469        1.64038        1.62506        1.62448        2.15373        2.15373        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
481	0	0	1.65298        1.64668        1.63455        1.63053        2.16852        2.16852        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
482	0	0	1.66633        1.653          1.64535        1.63659        2.18383        2.18383        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
483	0	0	1.66943        1.65945        1.6493         1.64275        2.19991        2.19991        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
484	0	0	1.67256        1.66594        1.65197        1.64895        2.21568        2.21568        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
485	0	0	1.68741        1.67282        1.66488        1.6555         2.23322        2.23322        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
486	0	0	1.69295        1.67986        1.6674         1.66217        2.2529         2.2529         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
487	0	0	1.69291        1.68681        1.67167        1.6687         2.27144        2.27144        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
488	0	0	1.71119        1.6941         1.68307        1.67555        2.29177        2.29177        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
489	0	0	1.72195        1.70145        1.6858         1.6823         2.3176         2.3176         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
490	0	0	1.72039        1.70875        1.69299        1.68905        2.34284        2.34284        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
491	0	0	1.73322        1.71639        1.7021         1.69618        2.36697        2.36697        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
492	0	0	1.7418         1.7241         1.70996        1.70338        2.39288        2.39288        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
493	0	0	1.75396        1.73184        1.7207         1.71051        2.41921        2.41921        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
494	0	0	1.76179        1.73962        1.73251        1.71783        2.44456        2.44456        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
495	0	0	1.76598        1.74746        1.73754        1.7252         2.46791        2.46791        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
496	0	0	1.76847        1.75547        1.73797        1.73268        2.49185        2.49185        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
497	0	0	1.77853        1.76372        1.74434        1.74039        2.5186         2.5186         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
498	0	0	1.79128        1.77227        1.75952        1.7483         2.54634        2.54634        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
499	0	0	1.79924        1.78102        1.76322        1.75645        2.57529        2.57529        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
500	0	0	1.81558        1.78971        1.77181        1.7644         2.60837        2.60837        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
501	0	0	1.81704        1.79834        1.7821         1.77234        2.64057        2.64057        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
502	0	0	1.83789        1.80703        1.79452        1.78037        2.67255        2.67255        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
503	0	0	1.84137        1.81584        1.79551        1.78846        2.70894        2.70894        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
504	0	0	1.84809        1.82496        1.80513        1.79677        2.74583        2.74583        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
505	0	0	1.86786        1.83439        1.8205         1.80532        2.78377        2.78377        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
506	0	0	1.87036        1.84383        1.82371        1.8139         2.82305        2.82305        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
