i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       deuteron_D     deuteron_T     He3_D          He3_T          alpha_D        alpha_T        Li6_D          Li6_T          Be8_D          Be8_T          C12_D          C12_T          C13_D          C13_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          
50	0	0	1.47277        1.3664         1.43388        1.34948        3.01651        2.8499         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
51	0	0	1.48857        1.37131        1.44904        1.3538         2.99766        2.89961        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
52	0	0	1.49864        1.37619        1.45659        1.35821        3.18707        2.95322        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
53	0	0	1.50979        1.38132        1.46964        1.3628         3.15558        3.00434        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
54	0	0	1.59924        1.38812        1.46763        1.3676         3.15551        3.05444        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              83.3319        83.3319        
55	0	0	1.52883        1.39215        1.48344        1.37255        3.32861        3.11111        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
56	0	0	1.53514        1.39792        1.48772        1.37766        3.44489        3.17675        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
57	0	0	1.54457        1.40389        1.49417        1.3829         3.46379        3.24756        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
58	0	0	1.56535        1.41029        1.51235        1.38849        3.56499        3.32446        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
59	0	0	1.5823         1.41711        1.52703        1.39443        3.69888        3.40445        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
60	0	0	1.60246        1.42445        1.54752        1.40089        3.70754        3.48988        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
61	0	0	1.66594        1.43275        1.6004         1.40813        4.01104        3.58723        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
62	0	0	1.69154        1.44267        1.62456        1.41679        4.11775        3.69054        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
63	0	0	1.7812         1.45431        1.70088        1.42714        4.34079        3.83172        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
64	0	0	1.92644        1.47169        1.85365        1.44295        4.51402        3.98207        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
65	0	0	3.0066         1.52361        2.9558         1.49362        4.71445        4.14596        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
66	0	0	2.54512        1.45674        2.44981        1.42322        5.03475        4.36725        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
67	0	0	1.6309         1.44162        1.48369        1.40457        5.51033        4.65715        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
68	0	0	1.66773        1.45041        1.48154        1.40911        6.09089        5.02317        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
69	0	0	1.75227        1.4614         1.49526        1.41365        7.10994        5.57383        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
70	0	0	1.88931        1.47725        1.50201        1.41834        8.90972        6.53618        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
