i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       alpha          alpha          Li7            Li7            Be7            Be7            Be8            Be8            O16            O16            
106	0	0	2.65497e-08    2.61554e-08    152            3.69634e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
107	0	0	2.64362e-08    2.56041e-08    151            5.24835e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
108	0	0	2.53365e-08    2.47827e-08    151            5.53724e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
109	0	0	2.54345e-08    2.47875e-08    151            6.28134e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
110	0	0	2.68289e-08    2.61406e-08    151            6.00035e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
111	0	0	2.63089e-08    2.55683e-08    151            6.19281e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
112	0	0	2.64179e-08    2.53406e-08    151            5.92853e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
113	0	0	2.69265e-08    2.59945e-08    151            5.85501e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
114	0	0	2.67196e-08    2.61569e-08    151            5.62634e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
115	0	0	2.67964e-08    2.61803e-08    151            6.14351e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
116	0	0	2.79422e-08    2.70147e-08    151            6.63614e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
117	0	0	2.61221e-08    2.52832e-08    150            6.62088e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
118	0	0	2.64445e-08    2.55844e-08    150            6.62607e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
119	0	0	2.69973e-08    2.62748e-08    150            6.30096e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
120	0	0	2.69229e-08    2.61935e-08    150            7.15281e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
121	0	0	2.68532e-08    2.59446e-08    150            7.99657e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
122	0	0	2.74946e-08    2.66689e-08    150            8.1551e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              
123	0	0	2.71886e-08    2.62365e-08    150            9.21598e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
124	0	0	2.70735e-08    2.61255e-08    150            9.03855e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
125	0	0	2.7816e-08     2.66547e-08    149            9.75494e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              
126	0	0	2.75024e-08    2.62672e-08    149            1.0407e-09     2              0              0              0              0              0              0              0              0              0              0              0              0              
127	0	0	2.91712e-08    2.76173e-08    149            1.42492e-09    2              0              0              0              0              0              0              0              0              0              0              0              0              
128	0	0	2.91169e-08    2.71335e-08    149            1.89189e-09    2              0              0              0              0              0              0              0              0              0              0              0              0              
129	0	0	2.89937e-08    2.77498e-08    149            1.10934e-09    2              0              0              0              0              0              0              0              0              0              0              0              0              
130	0	0	2.86056e-08    2.82032e-08    149            1.90782e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
131	0	0	2.86447e-08    2.83613e-08    148            2.0719e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
132	0	0	2.87768e-08    2.85165e-08    148            2.30404e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
133	0	0	2.79067e-08    2.76023e-08    147            2.93121e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
134	0	0	2.83301e-08    2.80092e-08    147            2.10943e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
135	0	0	2.90191e-08    2.87677e-08    147            2.34737e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
136	0	0	3.05072e-08    2.90822e-08    147            2.53068e-10    1              0              0              0              0              0              0              0              0              0              0              1.01691e-09    1              
137	0	0	3.14257e-08    3.08241e-08    147            2.32251e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
138	0	0	2.88317e-08    2.8567e-08     146            1.85244e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
139	0	0	2.87368e-08    2.84134e-08    145            2.377e-10      1              0              0              0              0              0              0              0              0              0              0              0              0              
140	0	0	2.85838e-08    2.83554e-08    145            2.28438e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
141	0	0	2.78835e-08    2.76075e-08    144            2.48449e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
142	0	0	2.83371e-08    2.80326e-08    144            2.07484e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
143	0	0	2.91553e-08    2.89379e-08    144            2.17399e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
