i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       He3            He3            alpha          alpha          Li6            Li6            Be8            Be8            C12            C12            C13            C13            N15            N15            O15            O15            O16            O16            
58	0	0	7.06428e-09    6.78972e-09    195            1.82074e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
59	0	0	7.08788e-09    6.80144e-09    195            1.8058e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
60	0	0	7.08697e-09    6.83197e-09    195            1.78917e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
61	0	0	7.09985e-09    6.89939e-09    195            1.93558e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
62	0	0	7.18869e-09    6.95587e-09    195            1.94535e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
63	0	0	7.27355e-09    6.98879e-09    195            2.19304e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
64	0	0	7.32004e-09    7.08858e-09    195            2.01874e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
65	0	0	7.59002e-09    7.29155e-09    195            2.1822e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
66	0	0	7.12289e-09    6.84448e-09    195            2.62024e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
67	0	0	7.23388e-09    6.95211e-09    194            2.63813e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
68	0	0	7.06251e-09    6.74831e-09    194            2.87789e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
69	0	0	7.09302e-09    6.71106e-09    194            3.24145e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
70	0	0	7.29156e-09    6.81165e-09    194            3.82354e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
71	0	0	7.47399e-09    6.85626e-09    194            5.0293e-10     2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
72	0	0	1.07253e-08    6.8951e-09     194            7.42212e-10    3              0              0              2.56069e-09    1              0              0              0              0              0              0              0              0              4.41665e-10    1              0              0              0              0              0              0              
73	0	0	7.61181e-09    6.85418e-09    193            7.02344e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
74	0	0	6.90133e-09    6.785e-09      193            1.02763e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              8.72855e-12    1              
75	0	0	7.10315e-09    6.91688e-09    193            1.08475e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
