i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
190	0	0	1.21533e-09    1.21533e-09    24             0              0              0              0              
191	0	0	1.1762e-09     1.1762e-09     24             0              0              0              0              
192	0	0	1.22579e-09    1.22579e-09    24             0              0              0              0              
193	0	0	1.27002e-09    1.27002e-09    24             0              0              0              0              
194	0	0	1.2516e-09     1.2516e-09     24             0              0              0              0              
195	0	0	1.24251e-09    1.24251e-09    24             0              0              0              0              
196	0	0	1.26742e-09    1.26742e-09    24             0              0              0              0              
197	0	0	1.32874e-09    1.32874e-09    24             0              0              0              0              
198	0	0	1.27046e-09    1.27046e-09    24             0              0              0              0              
199	0	0	1.27542e-09    1.27542e-09    24             0              0              0              0              
200	0	0	1.326e-09      1.326e-09      24             0              0              0              0              
201	0	0	1.29627e-09    1.29627e-09    24             0              0              0              0              
202	0	0	1.31446e-09    1.31446e-09    24             0              0              0              0              
203	0	0	1.33736e-09    1.33736e-09    24             0              0              0              0              
204	0	0	1.36888e-09    1.36888e-09    24             0              0              0              0              
205	0	0	1.35548e-09    1.35548e-09    24             0              0              0              0              
206	0	0	1.4125e-09     1.4125e-09     24             0              0              0              0              
207	0	0	1.43369e-09    1.43369e-09    24             0              0              0              0              
208	0	0	1.45504e-09    1.45504e-09    24             0              0              0              0              
209	0	0	1.47281e-09    1.47281e-09    24             0              0              0              0              
210	0	0	1.48964e-09    1.48964e-09    24             0              0              0              0              
211	0	0	1.61477e-09    1.61477e-09    24             0              0              0              0              
212	0	0	1.7124e-09     1.7124e-09     24             0              0              0              0              
213	0	0	1.30033e-09    1.30033e-09    23             0              0              0              0              
214	0	0	1.30552e-09    1.30552e-09    23             0              0              0              0              
215	0	0	1.36108e-09    1.36108e-09    23             0              0              0              0              
216	0	0	1.3123e-09     1.3123e-09     23             0              0              0              0              
217	0	0	1.34151e-09    1.34151e-09    23             0              0              0              0              
218	0	0	1.3559e-09     1.3559e-09     23             0              0              0              0              
219	0	0	1.40186e-09    1.40186e-09    23             0              0              0              0              
220	0	0	1.41236e-09    1.41236e-09    23             0              0              0              0              
221	0	0	1.39463e-09    1.39463e-09    23             0              0              0              0              
222	0	0	1.42534e-09    1.42534e-09    23             0              0              0              0              
223	0	0	1.4347e-09     1.4347e-09     23             0              0              0              0              
224	0	0	1.41074e-09    1.41074e-09    23             0              0              0              0              
225	0	0	1.41698e-09    1.41698e-09    23             0              0              0              0              
226	0	0	1.45724e-09    1.45724e-09    23             0              0              0              0              
227	0	0	1.52117e-09    1.52117e-09    23             0              0              0              0              
228	0	0	1.50436e-09    1.50436e-09    23             0              0              0              0              
229	0	0	1.46522e-09    1.46522e-09    23             0              0              0              0              
230	0	0	1.56907e-09    1.56907e-09    23             0              0              0              0              
231	0	0	1.56292e-09    1.56292e-09    23             0              0              0              0              
232	0	0	1.51431e-09    1.51431e-09    23             0              0              0              0              
233	0	0	1.59173e-09    1.59173e-09    23             0              0              0              0              
234	0	0	1.59543e-09    1.59543e-09    23             0              0              0              0              
235	0	0	1.65442e-09    1.65442e-09    23             0              0              0              0              
236	0	0	1.66473e-09    1.66473e-09    23             0              0              0              0              
237	0	0	1.6053e-09     1.6053e-09     23             0              0              0              0              
238	0	0	1.66711e-09    1.66711e-09    23             0              0              0              0              
239	0	0	1.72339e-09    1.72339e-09    23             0              0              0              0              
240	0	0	1.74075e-09    1.74075e-09    23             0              0              0              0              
241	0	0	1.75579e-09    1.75579e-09    23             0              0              0              0              
242	0	0	1.76664e-09    1.76664e-09    23             0              0              0              0              
243	0	0	1.88219e-09    1.88219e-09    23             0              0              0              0              
244	0	0	1.82883e-09    1.82883e-09    23             0              0              0              0              
245	0	0	1.90502e-09    1.90502e-09    23             0              0              0              0              
246	0	0	1.84708e-09    1.84708e-09    23             0              0              0              0              
247	0	0	1.95838e-09    1.95838e-09    23             0              0              0              0              
248	0	0	1.996e-09      1.996e-09      23             0              0              0              0              
249	0	0	2.01998e-09    2.01998e-09    23             0              0              0              0              
250	0	0	2.06698e-09    2.06698e-09    23             0              0              0              0              
251	0	0	2.08549e-09    2.08549e-09    23             0              0              0              0              
252	0	0	2.21096e-09    2.21096e-09    23             0              0              0              0              
253	0	0	2.32377e-09    2.32377e-09    23             0              0              0              0              
254	0	0	2.25561e-09    2.25561e-09    23             0              0              0              0              
255	0	0	2.41927e-09    2.41927e-09    23             0              0              0              0              
256	0	0	2.39504e-09    2.39504e-09    23             0              0              0              0              
257	0	0	2.53808e-09    2.53808e-09    23             0              0              0              0              
258	0	0	2.63866e-09    2.63866e-09    23             0              0              0              0              
259	0	0	2.73359e-09    2.73359e-09    23             0              0              0              0              
260	0	0	2.90082e-09    2.90082e-09    23             0              0              0              0              
261	0	0	3.15028e-09    3.15028e-09    23             0              0              0              0              
262	0	0	3.26271e-09    3.26271e-09    23             0              0              0              0              
263	0	0	3.11708e-09    3.11708e-09    22             0              0              0              0              
264	0	0	3.32274e-09    3.32274e-09    22             0              0              0              0              
265	0	0	3.77577e-09    3.77577e-09    22             0              0              0              0              
266	0	0	3.99691e-09    3.99691e-09    22             0              0              0              0              
267	0	0	3.70808e-09    3.70808e-09    20             0              0              0              0              
268	0	0	4.3142e-09     4.3142e-09     20             0              0              0              0              
269	0	0	5.31385e-09    5.31385e-09    20             0              0              0              0              
270	0	0	4.66458e-09    4.66458e-09    17             0              0              0              0              
271	0	0	2.79847e-09    2.79847e-09    13             0              0              0              0              
272	0	0	2.5635e-09     2.5635e-09     10             0              0              0              0              
273	0	0	2.68727e-09    2.68727e-09    9              0              0              0              0              
274	0	0	1.77006e-09    1.77006e-09    7              0              0              0              0              
275	0	0	1.98374e-09    1.98374e-09    6              0              0              0              0              
276	0	0	1.55802e-09    1.55802e-09    5              0              0              0              0              
277	0	0	7.51632e-10    7.51632e-10    2              0              0              0              0              
680	0	0	3.29266e-10    0              0              3.29266e-10    1              0              0              
684	0	0	6.77452e-12    0              0              0              0              6.77452e-12    1              
697	0	0	2.2044e-10     0              0              0              0              2.2044e-10     1              
714	0	0	7.22508e-12    0              0              0              0              0              0              
730	0	0	1.49173e-10    0              0              1.49173e-10    1              0              0              
742	0	0	1.53016e-11    0              0              1.53016e-11    1              0              0              
758	0	0	3.79442e-10    0              0              3.79442e-10    1              0              0              
759	0	0	6.96965e-10    0              0              6.96965e-10    1              0              0              
776	0	0	3.06535e-12    0              0              0              0              0              0              
777	0	0	4.94432e-12    0              0              0              0              0              0              
778	0	0	3.93134e-12    0              0              0              0              0              0              
779	0	0	5.55206e-12    0              0              0              0              0              0              
780	0	0	4.09804e-12    0              0              0              0              0              0              
781	0	0	7.03064e-12    0              0              0              0              0              0              
782	0	0	5.76393e-12    0              0              0              0              0              0              
783	0	0	9.31277e-12    0              0              0              0              0              0              
784	0	0	4.2525e-12     0              0              0              0              0              0              
785	0	0	4.58869e-12    0              0              0              0              0              0              
786	0	0	4.34574e-12    0              0              0              0              0              0              
787	0	0	4.39236e-12    0              0              0              0              0              0              
788	0	0	3.81318e-12    0              0              0              0              0              0              
789	0	0	3.25157e-12    0              0              0              0              0              0              
790	0	0	4.69071e-12    0              0              0              0              0              0              
791	0	0	3.97097e-12    0              0              0              0              0              0              
792	0	0	7.44466e-12    0              0              0              0              0              0              
793	0	0	4.49845e-12    0              0              0              0              0              0              
794	0	0	7.46883e-12    0              0              0              0              0              0              
795	0	0	7.32618e-12    0              0              0              0              0              0              
796	0	0	2.61035e-11    0              0              0              0              0              0              
797	0	0	3.09021e-11    0              0              0              0              0              0              
798	0	0	4.74719e-11    0              0              0              0              0              0              
799	0	0	2.33685e-11    0              0              0              0              0              0              
