i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
143	0	0	3.95945e-09    3.69983e-09    28             0              0              0              0              
144	0	0	3.84659e-09    3.76262e-09    28             0              0              0              0              
145	0	0	3.86787e-09    3.79032e-09    28             0              0              0              0              
146	0	0	3.82309e-09    3.72964e-09    28             0              0              0              0              
147	0	0	3.52746e-09    3.5181e-09     28             0              0              0              0              
148	0	0	3.89168e-09    3.79965e-09    28             0              0              0              0              
149	0	0	3.79038e-09    3.6986e-09     28             0              0              0              0              
150	0	0	3.68555e-09    3.67655e-09    28             0              0              0              0              
151	0	0	3.83469e-09    3.73789e-09    28             0              0              0              0              
152	0	0	3.55193e-09    3.55193e-09    28             0              0              0              0              
153	0	0	3.71385e-09    3.70715e-09    28             0              0              0              0              
154	0	0	3.97178e-09    3.87421e-09    28             0              0              0              0              
155	0	0	3.99359e-09    3.99359e-09    28             0              0              0              0              
156	0	0	4.24773e-09    4.20468e-09    28             0              0              3.92652e-11    1              
157	0	0	4.38792e-09    4.29384e-09    28             0              0              0              0              
158	0	0	4.73883e-09    4.64894e-09    28             0              0              0              0              
159	0	0	4.87285e-09    4.87285e-09    28             0              0              0              0              
160	0	0	4.91747e-09    4.91747e-09    28             0              0              0              0              
161	0	0	3.49802e-09    3.49802e-09    27             0              0              0              0              
162	0	0	3.36669e-09    3.26851e-09    27             0              0              0              0              
163	0	0	3.36881e-09    3.3656e-09     27             0              0              0              0              
164	0	0	3.51115e-09    3.42751e-09    27             0              0              0              0              
165	0	0	3.28336e-09    3.18675e-09    27             0              0              0              0              
166	0	0	3.38988e-09    3.29303e-09    27             0              0              0              0              
167	0	0	3.55926e-09    3.44649e-09    27             0              0              0              0              
168	0	0	3.41212e-09    3.2959e-09     27             0              0              0              0              
169	0	0	3.62428e-09    3.46506e-09    27             0              0              0              0              
170	0	0	3.5574e-09     3.53272e-09    27             0              0              0              0              
171	0	0	3.42841e-09    3.33696e-09    27             0              0              0              0              
172	0	0	3.56746e-09    3.48849e-09    27             0              0              0              0              
173	0	0	3.50646e-09    3.50646e-09    27             0              0              0              0              
174	0	0	3.46152e-09    3.3905e-09     27             0              0              0              0              
175	0	0	3.61168e-09    3.59227e-09    27             0              0              0              0              
176	0	0	3.23279e-09    3.11672e-09    27             0              0              0              0              
177	0	0	3.59328e-09    3.48107e-09    27             0              0              0              0              
178	0	0	3.62566e-09    3.57818e-09    27             0              0              0              0              
179	0	0	3.36993e-09    3.35015e-09    27             0              0              0              0              
180	0	0	3.63594e-09    3.46168e-09    27             0              0              0              0              
181	0	0	3.5522e-09     3.5522e-09     27             0              0              0              0              
182	0	0	3.48323e-09    3.48323e-09    27             0              0              0              0              
183	0	0	3.42686e-09    3.42686e-09    27             0              0              0              0              
184	0	0	4.05383e-09    4.05383e-09    27             0              0              0              0              
185	0	0	3.51532e-09    3.51532e-09    27             0              0              0              0              
186	0	0	3.69542e-09    3.69542e-09    27             0              0              0              0              
187	0	0	3.73804e-09    3.64622e-09    27             0              0              0              0              
188	0	0	3.87573e-09    3.69265e-09    27             0              0              0              0              
189	0	0	3.58179e-09    3.58179e-09    27             0              0              0              0              
190	0	0	3.35755e-09    3.35493e-09    27             0              0              0              0              
191	0	0	3.66231e-09    3.57765e-09    27             0              0              0              0              
192	0	0	3.56103e-09    3.47387e-09    27             0              0              0              0              
193	0	0	3.85003e-09    3.84746e-09    27             0              0              0              0              
194	0	0	3.525e-09      3.43575e-09    27             0              0              0              0              
195	0	0	3.88186e-09    3.83736e-09    27             0              0              0              0              
196	0	0	3.58298e-09    3.54096e-09    27             0              0              0              0              
197	0	0	3.82689e-09    3.82689e-09    27             0              0              0              0              
198	0	0	3.56515e-09    3.56515e-09    27             0              0              0              0              
199	0	0	3.54831e-09    3.54831e-09    27             0              0              0              0              
200	0	0	3.66086e-09    3.66086e-09    27             0              0              0              0              
201	0	0	3.90269e-09    3.90269e-09    27             0              0              0              0              
202	0	0	3.94093e-09    3.94093e-09    27             0              0              0              0              
203	0	0	3.78912e-09    3.78912e-09    27             0              0              0              0              
204	0	0	3.81239e-09    3.81239e-09    27             0              0              0              0              
205	0	0	3.75734e-09    3.75734e-09    27             0              0              0              0              
206	0	0	3.73852e-09    3.72048e-09    27             0              0              0              0              
207	0	0	3.83365e-09    3.76543e-09    27             0              0              0              0              
208	0	0	3.71e-09       3.71e-09       27             0              0              0              0              
209	0	0	4.14147e-09    4.14147e-09    27             0              0              0              0              
210	0	0	3.71502e-09    3.71502e-09    27             0              0              0              0              
211	0	0	4.0558e-09     4.0558e-09     27             0              0              0              0              
212	0	0	3.83744e-09    3.83744e-09    27             0              0              0              0              
213	0	0	3.71918e-09    3.71918e-09    27             0              0              0              0              
214	0	0	4.16545e-09    4.16545e-09    27             0              0              0              0              
215	0	0	3.85463e-09    3.85463e-09    27             0              0              0              0              
216	0	0	3.94212e-09    3.94212e-09    27             0              0              0              0              
217	0	0	3.90619e-09    3.90619e-09    27             0              0              0              0              
218	0	0	3.85514e-09    3.85514e-09    27             0              0              0              0              
219	0	0	3.85447e-09    3.85447e-09    27             0              0              0              0              
220	0	0	3.94163e-09    3.94163e-09    27             0              0              0              0              
221	0	0	5.7083e-09     4.03457e-09    27             1.58381e-09    1              0              0              
222	0	0	6.9585e-09     3.96621e-09    27             2.99229e-09    1              0              0              
223	0	0	5.55054e-09    4.17064e-09    27             1.3799e-09     1              0              0              
224	0	0	4.23284e-09    4.23284e-09    27             0              0              0              0              
225	0	0	4.05942e-09    4.05942e-09    27             0              0              0              0              
226	0	0	4.01476e-09    4.01476e-09    27             0              0              0              0              
